city_name,overall_risk,general_fund_reserves_risk,debt_burden_risk,liquidity_risk,revenue_trends_risk,pension_obligations_risk,pension_funding_risk,pension_costs_risk,future_pension_costs_risk,opeb_obligations_risk,opeb_funding_risk,overall_points,general_fund_reserves_points,debt_burden_points,liquidity_points,revenue_trends_points,pension_obligations_points,pension_funding_points,pension_costs_points,future_pension_costs_points,opeb_obligations_points,opeb_funding_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,end_year,county_name,zip,entity_name,eligible,total_registered,democratic,republican,american_independent,green,libertarian,peace_and_freedom,unknown,other,no_party_preference,AMI
Bell Gardens,Moderate,LOW,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,HIGH,HIGH,HIGH,68.08,22.89,14.08,10,4.38,5.52,3.6,2.5,1.11,4,0,0.58,0.31,11.3,0.15,0.81,0.72,0.09,0.14,1,0,42489,0.05,17103830,1514191,13393169,43362763,0.28,17207770,29513519,10658491,15074042,17207770,25993237,28226216,33762890,35018132,0,96664286,134399075,3854212,5869518.85,43465000,2017,Los Angeles,90201,Bell Gardens,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Bellflower,Low,MODERATE,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,HIGH,73.41,14.05,13.24,10,2.63,9.84,3.85,4.44,3.61,10,1.75,0.4,0.41,5.23,0.01,0.27,0.77,0.02,0.05,0.16,0.35,77326,0.053,8990289,1720043,16877396,40935884,-0.02,11885694,29739783,12404694,13344192,11885694,27739879,28391642,28361196,11230734,0,42471376,55264432,985086,2103972.49,6743252,2017,Los Angeles,90706,Bellflower,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Belmont,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,HIGH,74.87,20.5,11.66,10,3.13,7.92,3.55,3.33,2.78,10,2,0.53,0.6,13.04,0.05,0.51,0.71,0.06,0.08,0.16,0.4,27057,0.028,9907598,759560,38818320,64916066,0.17,10751372,20177899,7917689,8386603,10751372,20227929,21673539,22379562,32834572,0,87166315,122428657,3581668,5296371.99,10223160,2017,San Mateo,94002-3867,Belmont,504398,442988,242349,64016,9802,1726,2952,1315,2172,2068,116588,166000
Belvedere,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,LOW,LOW,LOW,HIGH,81.23,23.68,15,10,3.38,8,3.95,3.61,3.61,10,0,0.6,0.03,7.71,0.07,0.5,0.79,0.05,0.05,0.12,0,2116,NA,4026546,522060,241027,8453453,0.25,3520626,5912862,2277776,2793225,3520626,5790798,6089738,6591192,4243453,0,16193426,20528460,386103,425131.96,1036193,2017,Marin,94920,Belvedere,180089,175192,105707,23248,4240,1023,1261,333,528,614,38238,166000
Benicia,Moderate,LOW,MODERATE,LOW,MODERATE,HIGH,MODERATE,MODERATE,HIGH,LOW,HIGH,63.85,20.13,10,10,3.13,3.6,3.65,2.78,0.56,10,0,0.51,0.8,10.29,0.05,1.05,0.73,0.08,0.16,0.09,0,28255,0.037,16059505,1560459,49441532,62110497,0.25,17244481,33913142,11016560,14313844,17244481,32013242,36376990,35009975,57187308,7762706,166906658,229140696,5170989,9658587.11,5429726,2017,Solano,94510,Benicia,294407,259161,124706,58473,8579,944,2468,1197,1017,1453,60324,108700
Berkeley,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,55.42,12.75,11.75,10,3.25,0.88,3.35,2.22,0,9.92,1.3,0.34,0.59,2.24,0.06,1.39,0.67,0.1,0.19,0.26,0.26,122164,0.035,82890573,37023732,226001517,385924601,0.11,59328132,176325175,49640720,61429202,59328132,153036479,165400130,170392751,535501814,250000,1134327041,1703264621,39383641,73416302.37,100939599,2017,Alameda,94704,Berkeley,1092044,966809,574959,106702,19331,5249,5745,3543,91,5521,245668,142800
Beverly Hills,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,HIGH,LOW,HIGH,LOW,HIGH,78.97,27.95,11.16,10,3.25,7.28,3.5,3.61,2.22,10,0,0.73,0.66,7.41,0.06,0.59,0.7,0.05,0.1,0.25,0,34242,0.042,184906399,24945771,266025049,405164094,0.14,172603627,235542391,133813944,166584812,172603627,214908293,229253069,239727254,240439995,0,591043081,840966134,21986007,38506156.11,99305000,2017,Los Angeles,90210,Beverly Hills,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Big Bear Lake,Low,MODERATE,MODERATE,LOW,MODERATE,MODERATE,HIGH,MODERATE,LOW,LOW,LOW,72.22,15.09,11.58,10,3.25,7.68,3,2.78,3.84,10,5,0.42,0.61,8.02,0.06,0.54,0.6,0.08,NA,NA,NA,5264,0.019,5696652,710460,27344361,44486006,0.03,6454315,15500121,6150559,6560805,6454315,12451342,12380318,14025659,23937626,0,36300992,60238618,3597083,NA,NA,2017,San Bernardino,92315,Big Bear Lake,1331471,1102687,450725,328307,42655,3437,10315,6782,6675,6643,247148,87400
Biggs,Low,LOW,HIGH,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,HIGH,74.18,23.34,4.83,10,3,10,3.85,4.72,4.44,10,0,0.73,1.42,5.22,0.04,0.12,0.77,0.01,0.02,0.02,0,1706,0.034,622871,119347,6927564,4894419,-0.18,524399,719409,1004778,429548,524399,580154,528365,619510,599667,0,2226940,2891349,48087,115367.32,118409,2017,Butte,95917,Biggs,151237,124793,44489,44733,4960,715,1660,512,491,969,26264,85000
Bishop,Moderate,LOW,LOW,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,MODERATE,HIGH,69.86,26.57,15,10,3.13,1.92,3.5,2.22,0.28,6.24,1,0.68,0.08,8.24,0.05,1.26,0.7,0.1,0.17,0.72,0.2,3722,0.037,3785144,459256,842196,10018091,0.18,4293149,6358274,3121563,3282624,4293149,5838848,6359954,6446329,12317132,270437,32441633.8585901,46088624.8585901,987745,1674828.13,7182831,2017,Inyo,93514,Bishop,13707,11016,3707,4382,433,34,124,43,47,82,2164,82700
