city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_college_2008_12,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_per_cap_1099_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_per_cap_precints,good_pension_health,is_county_job_center
Beverly Hills,Los Angeles,90210,Low,80.77,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.85,0.65,7.23,0.08,0.65,0.71,0.06,0.09,0.27,0,211348257,29215643,268038918,412050532,0.11,201389285,236840582,166584812,172603627,201389285,229253069,239727254,264499991,266270457,0,628455125,883740845,23372339,38016412.17,109926000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Big Bear Lake,San Bernardino,92315,Low,74.57,0.6748090460761734,0.5012,0.37189999999999995,1391,0.49,0.55,10.86,0.08,0.69,0.7,0.08,NA,NA,NA,6249366,575424,25229326,45587419,0.06,7386870,14929360,6560805,6454315,7386870,12380318,14025659,14270631,25076254,6357716,58170818,83247072,3456348,NA,NA,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,FALSE,FALSE
Biggs,Butte,95917,Low,83.22,0.7693430199787061,0.6225,0.49439999999999995,159,1.57,1.32,13.18,0.16,0.12,0.78,0.01,0.02,0.02,0,1116450,84713,7614100,5777185,0.67,1104829,704625,429548,524399,1104829,528365,619510,714568,697185,0,2380315,3060074,67459,122215.65,118409,0.24,0.085,33.56159774281618,219034,31896,5953,103874,35124,37.2,0.4951409090909091,7.259146981747126e-4,FALSE,FALSE
Bishop,Inyo,93514,Moderate,70.95,0.7882886344424807,0.6628000000000001,0.43189999999999995,27,0.69,0.32,7.85,0.01,1.33,0.71,0.1,0.14,0.58,0.3,4020545,512097,3389378,10593692,0.2,4650402,6709836,3282624,4293149,4650402,6359954,6446329,6428897,13924373,181408,34380811,48370631,1086435,1461708.88,6176225,0.21,0.066,56.682552680423626,18318,42667,8187,10499,36114,45.6,0.504367518602394,0.001473960039305601,FALSE,FALSE
Blue Lake,Humboldt,95525,Low,86.7,0.7955847759213462,0.647,0.40630000000000005,140,1.31,0.1,10.46,0,0.44,0.7,0.04,0.06,0.06,0,1134082,108381,223303,2349080,0.04,1171600,897175,1097174,1162842,1171600,834510,929533,823617,1032065,0,2426029,3461524,92753,132867.84,136097,0.264,0.073,35.86541230391159,132657,31084,6269,70605,34145,37.1,0.5021058808673109,0.0010553532795103161,FALSE,FALSE
Blythe,Riverside,92225,High,31.3,0.6519685051631071,0.5115,0.4153,1403,0.07,1.13,0.43,0.03,1.18,0.72,0.09,0.16,0.62,0,377105,874345,19162119,16913365,4.26,696074,9491141,-225209,85514,696074,8040344,7955167,8518676,19992975,0,49285918,68850069,1594880,2633360.39,10552770,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
Bradbury,Los Angeles,91008,Low,95.74,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,1.22,0,19.95,-0.05,0.03,0.94,0.01,0.02,NA,NA,2831166,141948,0,2194375,-0.08,2724298,2233102,3261841,3332558,2724298,1803296,1788547,1624842,76419,0,1012289,1079718,14171,33067.11,NA,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,TRUE,TRUE
Brawley,Imperial,92227,Moderate,45.69,0.6502365004640552,0.44530000000000003,0.3225,108,0.02,0.46,0.67,0.01,1.05,0.92,0.02,0.05,0.11,0,571810,857160,17610442,38260982,-0.57,671653,31826289,3609872,1753764,671653,14028757,13972494,14207428,24015175,16310000,81070376,88176325,925723,2032799.01,4153966,0.132,0.226,42.24373946652215,167917,28182,3104,74053,34148,31.9,0.5136482398239824,6.431749018860508e-4,TRUE,FALSE
Brea,Orange,92821,Moderate,67.36,0.8640684252298959,0.6275,0.4654,2109,0.49,0.42,7.53,0.02,0.81,0.69,0.06,0.11,0.17,0,32381725,4302714,65066285,153105936,-0.02,27841764,56985040,29057311,25393681,27841764,56337883,56983439,58020291,124633005,0,277889990,402752944,9006661,16633954.33,25865288,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Brentwood,Contra Costa,94513,Low,73.47,0.7539949308861223,0.6535,0.4758,854,0.55,1.03,5.42,0.05,0.35,0.77,0.04,0.05,0.26,0.19,33632681,6205967,152106604,147189408,0.13,28386311,51726903,22386430,23227495,28386311,42257244,45179595,46550688,52074298,0,159449137,206890040,5605465,7991389.2,38225000,0.386,0.062,90.00304785096702,1023344,58611,12481,496937,58042,38.5,0.487620409427802,8.345189887271533e-4,FALSE,FALSE
