city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_college_2008_12,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_per_cap_1099_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_per_cap_precints,good_pension_health,is_county_job_center
Brisbane,San Mateo,94005,Moderate,67.09,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.44,0.68,3.72,0.1,0.71,0.75,0.06,0.11,0.18,0.17,7763590,2086503,21925008,32095179,0.06,8902290,20121665,7966140,8954790,8902290,16357706,18461207,19775078,21118306,1726000,63332743,84404135,1906264,3457759.26,5832023,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
Buellton,Santa Barbara,93427,Low,90.46,0.7376324610238962,0.637,0.5216,318,1.31,0.01,21.15,0.04,0.18,0.77,0.02,0.03,0.14,0,7475802,353401,167330,12244104,0.12,8311826,6364066,6733906,6939241,8311826,7385968,6863196,7805302,2153367,0,7127793,9231408,219633,385257.66,1709564,0.315,0.055,53.012658136531854,415859,45327,13688,258059,44000,33.6,0.5019780841953786,7.646822600929642e-4,FALSE,TRUE
Buena Park,Orange,90622,Moderate,58.3,0.8640684252298959,0.6275,0.4654,2109,0.35,0.23,6.72,0.01,1.2,0.71,0.09,0.17,0.06,0.23,32993286,4913334,21659552,92196088,-0.23,33686796,96787955,57402294,50151460,33686796,61649187,63257210,62550900,108528234,2002060,269390637,378492502,7920464,15340740.42,5782282,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Burbank,Los Angeles,91502,Moderate,69.03,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.43,0.43,4.38,0.03,0.76,0.75,0.06,0.11,0.08,0.47,72136000,16460000,216771000,505447000,0.07,68876000,159823000,60648000,65768000,68876000,145295000,142513000,152230000,376165000,8805000,1093968349,1452189923,32106196,56908831.82,39798000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Burlingame,San Mateo,94010,Moderate,67.37,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.45,0.79,9.11,0.04,0.61,0.73,0.05,0.08,0.32,0.27,34255174,3758303,96326813,122530890,0.04,31975603,71817875,29641334,33045683,31975603,66155143,68042750,71722983,65912338,8970000,178219214,243683608,5717860,10353272.17,38912484,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
Calabasas,Los Angeles,91302,Low,84.04,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.81,0.98,8.86,0.03,0.15,0.81,0.02,0.03,0.04,0,9739073,1098885,43000633,43763977,0.01,18725096,23223706,18665422,18392613,18725096,21980332,21630652,23245616,6611116,0,27277728,33652068,861145,1511460.1,1753132,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,TRUE,TRUE
Calexico,Imperial,92231,High,32.26,0.6502365004640552,0.44530000000000003,0.3225,108,-0.11,1.04,0,0.03,0.68,0.75,0.06,0.1,0.81,0,0,3650206,40253771,38667330,0.33,-1776596,16194224,-4042178,-3080693,-1776596,16454161,17241753,17500150,26132804,0,79236375,104977195,2210454,3890491.49,31396746,0.132,0.226,42.24373946652215,167917,28182,3104,74053,34148,31.9,0.5136482398239824,6.431749018860508e-4,FALSE,FALSE
California City,Kern,93505,Low,90.92,0.6575433079519254,0.4984,0.41200000000000003,588,0.76,0.27,4.36,0.3,0.61,0.71,0.07,0.08,NA,NA,2794362,641435,6819880,25408679,0.21,5042343,6620422,3518555,3786890,5042343,3770190,4249242,6211006,15447887,0,36667362,51647623,1795425,2097396.07,NA,0.149,0.099,52.20654335003,818327,29257,3963,364533,41733,30.7,0.5158313592518619,7.185391658835648e-4,FALSE,FALSE
Calimesa,Riverside,92320,Low,83.26,0.6519685051631071,0.5115,0.4153,1403,0.43,0.07,1.93,0.07,0.1,0.82,0.01,0.02,NA,NA,3290498,1701717,551782,7666024,0.22,2135796,5015452,1480884,1521443,2135796,4918196,5133371,5578945,801322,0,3358792,4119147,81270,164924.42,NA,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,TRUE,FALSE
Calipatria,Imperial,92233,Moderate,54.43,0.6502365004640552,0.44530000000000003,0.3225,108,-0.05,0.03,-0.25,-0.03,0.24,0.85,0.02,0.05,NA,NA,-35804,145163,112665,3396860,0.44,-103392,2025529,-401621,-126013,-103392,2185481,2397475,2048150,824557,0,4150438,4887937,54659,159646.33,NA,0.132,0.226,42.24373946652215,167917,28182,3104,74053,34148,31.9,0.5136482398239824,6.431749018860508e-4,TRUE,FALSE
Calistoga,Napa,94515,Moderate,68.21,0.7790353151347466,0.6576000000000001,0.275,147,0.48,0.73,6.92,0.03,0.44,0.75,0.08,0.07,0.1,0,5554921,803160,17501538,24067791,-0.03,6956983,14494759,7310881,7476508,6956983,12090051,12342330,12738465,10515516,0,27803690,37063618,2015336,1639291.32,2314284,0.312,0.051,60.91912329502659,134093,47613,12170,91679,46528,39.7,0.49939187010931685,0.001096254092309069,FALSE,TRUE
Camarillo,Ventura,93010,Low,93.02,0.8138416978089583,0.6566,0.43520000000000003,602,1.69,0.28,18.69,-0.01,0.34,0.74,0.02,0.04,0,1.01,61219227,3275656,26861313,96674897,0.03,62112044,36785876,59058799,58106753,62112044,40455639,40497060,40274486,32394471,0,84043621,113441605,1742473,4299163.58,NA,0.312,0.063,62.91647578665919,806353,45937,8871,441320,48206,36.2,0.4967327326743737,7.465712907374313e-4,FALSE,FALSE
Campbell,Santa Clara,95008,Moderate,65.61,0.7060058122206997,0.6068,0.5729,1142,0.49,0.32,4.75,0.01,1.03,0.72,0.1,0.15,0.09,0.35,27037378,5691015,18063170,56496571,-0.06,26480764,53592646,30222212,28924105,26480764,48417702,48011214,49686816,58035187,0,147351604,203628336,5787217,8474781.12,5220264,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,FALSE,TRUE
Canyon Lake,Riverside,92587,Low,91.34,0.6519685051631071,0.5115,0.4153,1403,0.88,0.04,8.33,0.04,0.07,0.78,0.01,0.01,0.02,0,4423485,530800,212465,5757819,0.12,4239456,4842891,3382765,3991498,4239456,4714788,4826852,5090849,380550,0,1341381,1716394,38386,72976.73,134345,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
Capitola,Santa Cruz,95010,Moderate,62.24,0.8295211204607084,0.7188,0.4706,260,0.41,0.17,4.27,0,1.2,0.73,0.09,0.18,0.03,0.26,6211249,1452999,3259913,18641037,0.05,6696684,16332357,6160826,6922627,6696684,15734315,15553861,15715446,22355266,0,58968717,81332308,1770027,3289014.04,604437,0.375,0.07400000000000001,42.6701387806019,256520,46909,11645,142699,42775,36.9,0.49894047609973247,0.0010135661936691096,FALSE,FALSE
Carlsbad,San Diego,92008,Low,88.44,0.7251714669285065,0.6071,0.46,2328,0.86,0.09,18.11,0.04,0.64,0.76,0.07,0.09,0.01,0.84,123268115,6808147,26396944,284033063,-0.04,127425622,148155153,138095555,117629422,127425622,145085076,148780367,155643413,181345532,0,519644297,682665442,19742095,24360704.93,2491621,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
Carmel-by-the-Sea,Monterey,93921,Moderate,62.57,0.6775766701887825,0.562,0.588,184,0.28,0.26,6.36,0.1,0.88,0.74,0.05,0.12,0.14,0,6976284,1096171,6892427,26277050,0.08,8006394,28183697,7212868,9315496,8006394,16366146,19420952,19367073,19908483,3220000,57241767,77163031,1317381,3024192.55,3650439,0.23199999999999998,0.085,50.36278083453606,406022,40587,9460,223750,42425,32.9,0.5142209383289524,4.53177414031752e-4,FALSE,FALSE
Carpinteria,Santa Barbara,93013,Low,81.66,0.7376324610238962,0.637,0.5216,318,0.72,0.01,10.28,0.03,0.52,0.74,0.03,0.07,0.15,0,8495120,826318,118600,14732424,-0.03,7821728,10795464,8262888,8014082,7821728,9302116,9060707,9840036,7595683,0,21859433,29370916,510893,1084480.94,2276447,0.315,0.055,53.012658136531854,415859,45327,13688,258059,44000,33.6,0.5019780841953786,7.646822600929642e-4,FALSE,TRUE
Carson,Los Angeles,90745,Moderate,68.63,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.44,0.06,2.89,0.14,0.91,0.66,0.07,0.11,0.52,0.23,37289747,12914120,6694470,112064605,0.49,34729533,78249272,16936600,18445230,34729533,74176750,76982328,94502017,102185046,0,192976325,292683017,7471529,12781026.5,58558306,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Cathedral City,Riverside,92234,Moderate,56.9,0.6519685051631071,0.5115,0.4153,1403,0.53,1.96,6.34,0.09,0.46,0.81,0.06,0.09,0.84,0,18956233,2989411,152398034,77806730,0.07,22906359,43038751,20016152,21996946,22906359,36847365,38050693,43631020,35969049,0,144674490,179677146,4569807,6817413.34,65700000,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,TRUE,FALSE
Ceres,Stanislaus,95307,Moderate,62.88,0.7125961812482189,0.5047,0.5289,447,0.26,0.28,0.98,0.07,0.66,0.67,0.09,NA,NA,NA,3808057,3891889,14111893,50114931,0.02,5236011,19773947,5184004,4519220,5236011,17653444,17462201,19853059,33114847,0,68370701.8536586,101742115.853659,4265800,NA,NA,0.163,0.111,35.30845604991435,509032,31117,4392,223665,39473,32.9,0.4946788141968265,8.781373273193041e-4,FALSE,FALSE
Cerritos,Los Angeles,90703,Low,87.78,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.93,0.14,7.73,0.02,0.76,0.72,0.07,0.09,0.01,0.99,68563155,8864419,13576082,93655078,-0.07,67543417,72819616,78783394,65590515,67543417,69956211,70710711,72956309,71386627,0,178698143,246517023,6165151,8672172.68,490674,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Chico,Butte,95927,Moderate,50.92,0.7693430199787061,0.6225,0.49439999999999995,159,0.23,0.52,3.48,0.05,1.37,0.68,0.11,0.18,0.1,0,8416547,2415383,50400101,97562895,0.38,12060759,53076216,6345776,8752281,12060759,49037682,50963449,54023987,134093025,0,279964107,411595585,10517178,18024526.79,9808659,0.24,0.085,33.56159774281618,219034,31896,5953,103874,35124,37.2,0.4951409090909091,7.259146981747126e-4,FALSE,FALSE
Chino,San Bernardino,91710,Moderate,50.08,0.6748090460761734,0.5012,0.37189999999999995,1391,-0.25,0.08,0.04,0.12,0.45,0.94,0.04,0.04,0.08,0,1108560,24697252,15604771,197978826,-0.69,-17564262,71618953,41352805,43048027,-17564262,63568465,70376630,78771298,88255481,0,318109612,337072081,8078551,7635195.42,16474497,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,TRUE,FALSE
Chino Hills,San Bernardino,91709,Low,87.41,0.6748090460761734,0.5012,0.37189999999999995,1391,0.94,0.25,24.37,-0.11,0.28,0.69,0.05,NA,0.03,0,44394524,1821489,29661105,117652541,0.29,39218994,41932239,24114124,35931670,39218994,58221693,46005901,45682963,33213659,0,74413233.4173688,107626892.417369,5556074,NA,3697968,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,FALSE,FALSE
Chowchilla,Madera,93610,Moderate,64.55,0.6526121161585035,0.52,0.54,109,0.48,2.05,14.58,0.04,0.64,0.7,0.06,0.04,NA,NA,2338973,160387,34542786,16881086,0.36,4279571,8905885,2323201,3287330,4279571,6388230,6926794,6940022,10793945,0,25192807,35808762,1034227,602112.27,NA,0.139,0.095,31.933175607816175,148359,26549,3880,59936,36146,33,0.48176846849832633,7.347043320593965e-4,FALSE,FALSE
Chula Vista,San Diego,91910,Moderate,67.1,0.7251714669285065,0.6071,0.46,2328,0.56,0.72,12.41,0.1,1.03,0.7,0.09,0.15,0.05,0,76248562,6141697,232218815,323840051,1.04,100527166,180681309,30030972,34480092,100527166,136946308,150273157,163447802,334868079,0,745521335,1067041666,28267513,47119126.51,14699539,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
Citrus Heights,Sacramento,95621,Moderate,61.97,0.7350143977736597,0.5869,0.44189999999999996,1330,0.17,0.08,1.21,0.01,0.31,0.83,0.06,0.1,0.01,0.74,2519666,2088569,3477782,45734705,-0.42,4873439,29398736,18762991,5660882,4873439,28509764,29329128,28637422,14224447,0,66548859,80574697,2803002,4368478.98,603172,0.27899999999999997,0.07200000000000001,52.519033474417654,1394438,39207,6314,801064,51750,34.8,0.48970882189587167,9.537892685081732e-4,TRUE,FALSE
Claremont,Los Angeles,91711,Moderate,50.75,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.21,0.39,1.67,0.04,1.19,0.71,0.09,0.15,0.05,0,6544396,3920457,18143336,46925717,-0.21,6112602,28549762,9797661,8412230,6112602,24216639,25218319,26050742,51683826,4065000,122382547,172949682,4188508,7026031.8,2577522,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Clayton,Contra Costa,94517,Low,83.18,0.7539949308861223,0.6535,0.4758,854,1.18,0.02,15.77,0,0.64,0.76,0.08,0.1,0.07,0,5644901,357928,150496,7656402,0.03,5584681,4734144,5309995,5844763,5584681,4386266,4347425,4371874,4901330,0,14993380,19666361,612898,747173.27,545327,0.386,0.062,90.00304785096702,1023344,58611,12481,496937,58042,38.5,0.487620409427802,8.345189887271533e-4,FALSE,FALSE
Clearlake,Lake,95422,Moderate,66.05,0.7518285640959835,0.5531,0.5326,52,0.24,0.03,1.18,0.1,0.61,0.74,0.05,0.09,NA,NA,431982,365219,343684,11858501,0.25,1395899,5769075,910972,1238888,1395899,4777093,5354085,5735451,7277873,0,19751830,26810881,600550,1105741.38,NA,0.168,0.107,26.497950055907566,64392,29721,5516,24538,33682,45,0.5021108791463698,8.075537333830289e-4,FALSE,FALSE
Cloverdale,Sonoma,95425,Moderate,70.89,0.7457829876765855,0.6968000000000001,0.5943,453,0.44,0.45,4.16,0.14,0.64,0.73,0.06,0.09,0.17,0,2756362,662061,6736571,15126147,0.35,2925955,6634797,1623853,1931753,2925955,5462021,5488774,6989363,9677941,0,26346884,35886936,927082,1395069.2,2637635,0.321,0.057999999999999996,47.03317120807625,473091,43430,10169,276221,45078,39.9,0.49165698791844226,9.575324831797687e-4,FALSE,TRUE
Clovis,Fresno,93612,Moderate,59.78,0.714652135684724,0.5144,0.4532,712,0.24,1.06,13.42,0.07,0.74,0.68,0.05,0.12,NA,NA,15546367,1158103,188991610,178281600,0.06,16042238,66430750,14704095,12860019,16042238,62144810,64316843,70732577,131386546,0,285241810,419738568,8389543,21519817.59,NA,0.19399999999999998,0.106,37.123290788562386,909630,30549,4517,441468,37825,30.6,0.49955505400612604,7.827358376482745e-4,FALSE,FALSE
Coachella,Riverside,92236,Moderate,57.19,0.6519685051631071,0.5115,0.4153,1403,0.31,1.16,1.08,0.04,0.33,0.74,0.01,0.05,0.08,0,3369746,3134411,56532586,48776599,-0.09,7052413,23019293,8773073,6528245,7052413,20165178,20820299,21775038,16034519,0,45856893,61569814,611480,2439991.86,3698609,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
Coalinga,Fresno,93210,Moderate,64.29,0.714652135684724,0.5144,0.4532,712,-0.06,0.67,1.96,0.21,0.02,0.96,0.02,0.03,NA,NA,2916605,1489308,16816075,25258779,0.66,-462031,7138944,-3907886,-1376016,-462031,6402039,7497262,9284751,513017,0,11091307,11544988,437786,654155.5,NA,0.19399999999999998,0.106,37.123290788562386,909630,30549,4517,441468,37825,30.6,0.49955505400612604,7.827358376482745e-4,TRUE,FALSE
Colfax,Placer,95713,Low,82.96,0.8313888865674386,0.7322,0.5558,379,0.71,1.7,6.45,0.11,0.02,0.88,0.01,0.01,NA,NA,2087816,323849,8787791,5162522,0.18,1477886,2094524,1067614,1158153,1477886,1958576,1968994,2378545,97040,0,686164,778585,44554,70481.02,NA,0.34700000000000003,0.065,46.07508709356337,337568,47986,9735,198859,45005,40.3,0.4883334481333517,0.001122736752298796,TRUE,TRUE
Colma,San Mateo,94014,Low,80.66,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,1.54,0.33,17.8,0.03,0.56,0.74,0.07,0.09,0.72,0.17,23433102,1316124,6303507,19228578,0.04,24456213,15866674,22594248,21547836,24456213,17719980,18125611,18745552,10682188,0,30591240,41089479,1264065,1706384.64,13892928,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
Colton,San Bernardino,92324,Moderate,64.01,0.6748090460761734,0.5012,0.37189999999999995,1391,0.39,0.65,9.11,0.09,0.92,0.71,0.05,0.11,0.24,0,12961522,1422809,84155284,128647628,0.87,15170133,38944108,4502643,9937323,15170133,26453168,28599769,31354198,95088662,23819225,243111190,340039798,6849832,14004555.5,30436713,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,FALSE,FALSE
Colusa,Colusa,95932,Low,79.62,0.6603425117528543,0.5484,0.49340000000000006,18,0.7,0.84,9.98,0.07,0.42,0.72,0.03,0.06,0.1,0.45,1631704,163421,13314752,15772215,-0.01,2422603,3485585,2471906,2374432,2422603,3084815,3109797,3497128,6658780,0,17072589,23694631,526658,1014376.3,1647472,0.135,0.139,58.8751774391975,21134,38298,5241,10687,34759,33.5,0.5141229749288015,8.517081480079493e-4,FALSE,FALSE
Commerce,Los Angeles,90040,Low,86.16,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.96,0.16,8.09,0.05,0.34,0.73,0.02,0.05,0.65,0.05,36952185,4569431,14118626,90330619,0.07,59647840,62204560,52400666,55268246,59647840,60504650,60330697,65655108,30403238,0,82702654,112888837,2059096,4578301.69,59004000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Compton,Los Angeles,90220,High,0,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,NA,TRUE
Concord,Contra Costa,94519,Moderate,54.9,0.7539949308861223,0.6535,0.4758,854,0.27,0.35,1.42,0.05,1.14,0.64,0.1,0.15,0.23,0.42,33418330,23486471,58779151,166151431,0.02,29008546,108726409,28124434,30097554,29008546,97386567,100831919,107044203,189844803,0,354524851,556565288,17285048,24549422.58,37541342,0.386,0.062,90.00304785096702,1023344,58611,12481,496937,58042,38.5,0.487620409427802,8.345189887271533e-4,FALSE,FALSE
Corcoran,Kings,93212,Moderate,62.76,0.6342746931320331,0.4569,0.6423000000000001,210,0.33,1.42,4.73,0.03,0.47,0.76,0.05,0.07,NA,NA,2204379,466328,24821219,17437688,-0.05,2027150,6097312,2271943,2456742,2027150,5066631,5025241,5401590,8158790,0,25013766,33018831,830062,1267045.68,NA,0.124,0.106,34.93159767672847,152027,25392,3690,58713,40187,31.1,0.564406270018695,0.0013813335789037474,FALSE,FALSE
Corning,Tehama,96021,Moderate,68.46,0.727765878189607,0.5775,0.5483,47,0.3,0.77,16.62,0.18,0.69,0.75,0.04,0.09,NA,NA,2075258,124882,8842232,11502396,1.68,1748527,5915665,334880,1367395,1748527,4517803,5511564,6296797,6432003,1520000,19559318,26009318,507476,1071965.29,NA,0.131,0.092,24.505219639892733,62648,26990,4736,23994,34328,39.5,0.4980854986370011,7.502234708210956e-4,FALSE,FALSE
Corona,Riverside,92882,Moderate,67.9,0.6519685051631071,0.5115,0.4153,1403,0.51,0.48,3.63,0.03,0.83,0.68,0.1,0.1,0.37,0.24,84536819,23271911,152181634,314390034,0.08,77102894,151400075,66653089,75877383,77102894,137861676,139092871,145172129,259889622,0,534199998,783808740,32460632,33009579.59,115023187,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
Coronado,San Diego,92118,Low,87.17,0.7251714669285065,0.6071,0.46,2328,1.28,0.09,22.29,0.04,0.61,0.78,0.07,0.11,0.02,0.63,76468266,3429870,7426056,78174670,0.07,72094218,56485790,63581920,66455353,72094218,56085443,58663533,60356238,47833958,0,169742633,216399073,5195018,8650432.57,1430993,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
Corte Madera,Marin,94925,Low,74.93,0.8589735806570894,0.7798999999999999,0.5870000000000001,189,0.54,0.34,5.92,0.02,0.63,0.73,0.05,0.09,0.31,0.16,10525425,1776604,10409804,30471744,0.24,11122829,20788660,7327040,8356614,11122829,22468841,21867605,23185991,19180989,0,50011076,68605012,1667342,2765744.58,9522000,0.546,0.047,67.9644361065709,248398,90003,30928,181971,56427,44.5,0.4915514106073872,7.608756914306878e-4,FALSE,TRUE
Costa Mesa,Orange,92626,Moderate,53.5,0.8640684252298959,0.6275,0.4654,2109,0.41,0.36,8.82,0.01,2.09,0.63,0.14,0.26,0.37,0,45076458,5110675,52487533,145141286,-0.08,53185562,131234700,61986376,60811286,53185562,122002181,121469035,124030214,303273871,0,493483626,789155895,20052791,37647371.14,53432728,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Cotati,Sonoma,94931,Low,82.28,0.7457829876765855,0.6968000000000001,0.5943,453,0.92,0.32,13.97,0.02,0.69,0.7,0.07,0.09,0.02,0,5191720,371502,4985415,15404661,0.21,5686944,6199893,3918034,4527879,5686944,6957325,6961261,7188323,10577410,0,23907369,34051404,1153203,1340993.87,289755,0.321,0.057999999999999996,47.03317120807625,473091,43430,10169,276221,45078,39.9,0.49165698791844226,9.575324831797687e-4,FALSE,TRUE
Covina,Los Angeles,91723,Moderate,51.17,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.14,0.71,1.71,0.06,0.92,0.72,0.05,0.14,0.1,0.07,4967621,2903656,45207490,63314449,0.12,5270236,36392605,5808211,3099344,5270236,34659718,33140919,38364088,58104710,0,153673439,212400014,3393655,8949891.56,6074022,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Crescent City,Del Norte,95531,Moderate,55.74,0.7119357736357512,0.5437,0.4844,18,0.38,2.16,2.43,0.04,0.55,0.72,0.05,0.08,0.06,0.24,2088167,860454,40675663,18791627,0.07,2012926,5359774,1782272,2055859,2012926,4921753,5020830,5327861,10325662,0,25771225,35846648,948296,1476250.55,1154528,0.138,0.08800000000000001,29.971610050533407,28496,25942,4397,11294,34685,39.1,0.5559944075498078,6.316676024705222e-4,FALSE,FALSE
Cudahy,Los Angeles,90201,Moderate,64.07,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.17,0.05,1.4,0.12,0.3,0.71,0.01,0.04,0.23,0,2321059,1662266,546284,11844184,0.09,1308571,7834362,1241974,906223,1308571,6667895,7055659,8258918,3539977,0,8340032,11763024,101829,469071.77,2697991,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Culver City,Los Angeles,90232,Moderate,65.02,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.55,0.24,10.91,0.06,1.27,0.66,0.09,0.18,0.48,0.31,60450721,5538419,44333261,184840396,0.03,66499189,121125413,63426373,62579714,66499189,103831355,104550462,115731351,234345914,0,462606274,696376262,17214768,32419806.86,87968000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Cupertino,Santa Clara,95014,Low,81.08,0.7060058122206997,0.6068,0.5729,1142,0.57,0.36,4.22,0.06,0.4,0.7,0.05,0.07,0,0.99,63889867,15155735,37244801,103918587,0.01,50790986,89312202,50369085,51695980,50790986,77857048,92812954,85106536,41144402,0,93476845,134356434,4807182,6892496.47,415000,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,FALSE,TRUE
Cypress,Orange,90630,Moderate,63.9,0.8640684252298959,0.6275,0.4654,2109,0.43,0.1,7.94,0.01,0.96,0.75,0.08,0.15,0.18,0,14317302,1803102,4865866,46936015,-0.08,16030834,37113888,18941670,19103087,16030834,32400250,32054266,33158138,45256290,0,134270491,179089438,3710784,6962374.72,8335993,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Daly City,San Mateo,94015,Moderate,61.32,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.41,0.19,5.52,0.03,1.3,0.76,0.09,0.17,0.33,0.17,41286151,7485790,27623406,142034188,0.07,34636736,84255519,30428218,34793026,34636736,79172396,78976778,84058262,164352104,20520000,491921985,646540115,13131734,24165623.94,47370810,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
Dana Point,Orange,92629,Low,80.1,0.8640684252298959,0.6275,0.4654,2109,0.54,0.01,7.34,0.04,0.12,0.82,0.02,0.03,0.03,0,20924747,2851252,472468,43035248,0.03,21139085,39026027,19897356,20163715,21139085,36459813,36748139,39280270,5236362,0,22523501,27618774,665655,1238947.48,1479785,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,TRUE,TRUE
Danville,Contra Costa,94526,Low,90.63,0.7539949308861223,0.6535,0.4758,854,0.65,0.21,4.51,0.03,NA,NA,NA,NA,NA,NA,22355193,4953674,8194725,38504239,-0.02,18037776,27599075,18719466,17562289,18037776,25643723,25604120,26781154,NA,NA,NA,NA,NA,NA,NA,0.386,0.062,90.00304785096702,1023344,58611,12481,496937,58042,38.5,0.487620409427802,8.345189887271533e-4,NA,FALSE
