city,county,Employees,zipcode,overall_risk,overall_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_voter_reg_08,county_college_2008_12,county_avg_unemployed_05_09,county_per_cap_gdp_08,county_pop_08,county_per_cap_income_08,county_per_cap_1099_income_08,county_n_jobs_08,county_avg_wage_08,county_med_age_08,county_med_age_m_08,county_med_age_f_08,county_prop_m_08,county_prop_f_08
Fontana,San Bernardino,1435,92335,Low,79.03,0.71,0.31,9.82,0.05,0.59,0.69,0.05,0.09,0.28,0,213202,0.039,50772731,5168520,77110238,249519990,0,85429773,120334663,85799903,83982754,85429773,99518272,98103407,108970832,146180506,0,319734313,465500958,13144413,23297050.44,70107961,0.674809046,0.186,0.0736,34.97512396,2003735,29988,4061,885185,41008,31.7,30.6,32.8,0.497003749,0.502996251
Fort Bragg,Mendocino,76,95437,Moderate,68.75,0.3,0.21,3.02,0.01,0.42,0.74,0.03,0.06,0.14,0.38,7347,0.04,1697469,561893,5004436,23616465,-0.25,2865173,9542073,5322440,3102920,2865173,9113664,8210732,9195822,9260794,755835,26616947,35804624,728681,1454580.97,3391042,0.814389621,0.214,0.0674,35.23985915,87468,34608,7965,47931,34716,41.5,40,43.3,0.500711513,0.499288487
Fortuna,Humboldt,147,95540,Low,88.92,1.07,0.77,12.89,0.18,0.46,0.73,0.04,0.07,NA,NA,12322,0.031,4725607,366729,16484559,21353194,0.22,7096062,6661693,4855162,5233809,7096062,6135617,6756693,8417191,9723507,0,26579881,36267739,880291,1503126.18,NA,0.795584776,0.264,0.0718,35.8654123,132657,31084,6269,70605,34145,37.1,35.9,38.6,0.502105881,0.497894119
Foster City,San Mateo,334,94404,Low,79.75,1.33,0.04,9.81,0.05,1,0.69,0.08,0.13,0.14,0,34109,0.021,41961646,4279145,3146532,81576787,0.14,53371052,40080179,41046604,45628490,53371052,43557905,44077681,47828103,81720266,0,176735935,257549725,6506323,10396276.19,11812000,0.812809978,0.439,0.0504,83.74426637,703830,74932,21933,468661,72876,39.3,37.9,40.5,0.491568666,0.508431334
Fountain Valley,Orange,308,92708,Moderate,70.77,0.69,0.44,14.32,0.16,1.2,0.74,0.08,0.15,0.48,0.18,55663,0.031,45197785,3155173,35537608,81536214,0,39940129,57802994,40522308,44116389,39940129,42538030,45201964,56357758,82249932,15696537,224268783,304582213,6183724,11908232.92,38804000,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Fowler,Fresno,56,93625,Low,83.18,0.63,0.44,5.34,0.02,0.48,0.71,0.05,0.09,NA,NA,6750,0.057,1930296,361810,3764965,8638041,0.18,2380288,3792709,1705450,2049435,2380288,3950363,4187613,4123562,4106980,0,10725015,15014957,454404,770623.85,NA,0.714652136,0.194,0.1028,37.12329079,909630,30549,4517,441468,37825,30.6,29.8,31.6,0.499555054,0.500444946
Fremont,Alameda,1690,94537,Moderate,54.06,0.26,0.59,3.82,0.07,1.19,0.69,0.1,0.17,0.25,0.09,237811,0.027,36008110,9421518,188672075,318389276,0.16,49701777,191498299,36933083,39651567,49701777,170603975,179780027,195800093,377822524,0,825236628,1191750799,33055894,54467271.4,80829000,0.813018889,0.411,0.0622,62.71487157,1477208,48524,8583,903624,60165,36.6,35.6,37.5,0.490357691,0.509642309
Fresno,Fresno,4556,93721,Moderate,57.21,0.15,1.48,2.95,0.05,-0.24,1.13,0.04,NA,0.12,0,528814,0.059,37610887,12731215,1182094114,799688135,0.19,47943256,328427700,36228994,52743277,47943256,282145068,317521281,309433840,-318219533,124245000,2783664524,2465444991,34305616,NA,92819706,0.714652136,0.194,0.1028,37.12329079,909630,30549,4517,441468,37825,30.6,29.8,31.6,0.499555054,0.500444946
Fullerton,Orange,914,92632,Moderate,50.05,0.16,0.27,1.66,0.03,1.26,0.69,0.08,0.16,0.19,0,139273,0.031,15744269,9457643,51308436,192241711,0.02,13991792,89923208,14881883,10661006,13991792,85040121,86917173,89860226,241388755,0,547340056,790177798,14610563,31529425.71,35970833,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Galt,Sacramento,367,95632,Low,79.39,0.8,1.01,6.64,0.02,0.54,0.72,0.06,0.08,0.05,0.2,26378,0.054,9418839,1419413,40018587,39465629,0.2,10427742,13002028,7392384,10068744,10427742,10357914,11991969,10472641,21267915,0,55022253,76183507,2217435,3279169.03,2089648,0.735014398,0.279,0.0674,52.51903347,1394438,39207,6314,801064,51750,34.8,33.5,36.1,0.489708822,0.510291178
Garden Grove,Orange,860,92842,Moderate,55.25,0.3,0.48,7.22,0.06,1.3,0.68,0.1,0.17,0.08,0,172195,0.033,30594872,4239984,104394344,218892425,0.24,33146665,110228791,21683411,26158341,33146665,103184786,108987076,115196433,283673664,0,573218946,849178803,22336835,37537243.99,18180623,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Gardena,Los Angeles,583,90247,Moderate,56.26,0.41,0.5,4.07,0,1.13,0.72,0.05,0.17,0.78,0,59540,0.047,21155757,5202768,44772294,88665065,0.07,23125222,56342986,20516053,23549401,23125222,53417065,55233831,53742377,100311487,0,262798916,362594800,4041712,14896868.16,68940000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Gilroy,Santa Clara,440,95020,Moderate,65.37,0.49,0.8,5.06,0.03,0.74,0.7,0.07,0.12,0.13,0,58588,0.032,25195718,4975467,88009242,110400793,0.08,25475105,52090236,22202316,24354609,25475105,49750952,49801339,52992478,82049297,0,191951294,273547020,7703537,13034294.31,14781000,0.706005812,0.46,0.0628,91.79353048,1740964,61220,12764,1164619,81944,36.2,35.3,37.1,0.501700678,0.498299322
Glendale,Los Angeles,2169,91206,Moderate,55.71,0.23,0.63,5.38,0.08,0.9,0.71,0.07,0.12,0.02,0,200688,0.044,105607000,19622000,409597000,647382000,-0.1,51045000,218792000,63280000,65306000,51045000,181764000,185116000,211681000,580175000,0,1415482799,1983240917,46211000,78108971.68,15738000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Glendora,Los Angeles,324,91741,Moderate,64.68,0.46,0.5,7.82,0.03,1.02,0.73,0.03,0.14,0.2,0,51846,0.042,12951159,1656604,29165184,57765478,0.03,14003913,30322606,13423797,14202413,14003913,28772136,30611829,30200366,56443932,2225000,153392284,210101176,2013377,8350425.9,11800341,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Goleta,Santa Barbara,116,93117,Low,85.79,0.66,0.17,6.35,0.06,0.07,0.83,0.01,0.02,0.05,0,30954,0.025,16505249,2600035,6875055,39534737,0.06,19452278,29445920,17721938,21302919,19452278,24592798,25928149,27489791,2749352,0,13166194,15825292,591252,978822.29,1827335,0.737632461,0.315,0.0534,53.01265814,415859,45327,13688,258059,44000,33.6,32.3,35.1,0.501978084,0.498021916
Gonzales,Monterey,130,93926,Low,71.6,0.44,0.64,0.89,0.05,0.2,0.82,0.03,0.05,NA,NA,8349,0.013,966261,1081972,8910115,13974619,0.03,2424823,5554865,2322079,2209697,2424823,4987704,5250840,5480929,2784167,0,11710823,14356142,416706,656918.76,NA,0.67757667,0.232,0.0836,50.36278083,406022,40587,9460,223750,42425,32.9,32.2,33.9,0.514220938,0.485779062
Grand Terrace,San Bernardino,35,92313,Moderate,60.5,0.23,0.02,0.84,0.37,0.54,0.7,0.04,0.06,0.12,0,12556,0.041,1897340,2268463,165729,9353646,-0.06,1334517,5760627,2174100,906675,1334517,4424242,5570613,8162060,5064768,0,11623168,16514840,391538,570376.99,1165731,0.674809046,0.186,0.0736,34.97512396,2003735,29988,4061,885185,41008,31.7,30.6,32.8,0.497003749,0.502996251
Grass Valley,Nevada,115,95945,Low,75.68,0.65,0.46,6.44,0,0.63,0.74,0.05,0.1,0.21,0,12881,0.044,9501119,1474388,14622619,31802236,0.07,9641999,14854144,8442621,9173991,9641999,15247214,14628049,15238579,18989769,1011000,52822652,71787340,1542774,3064094.22,6598296,0.855075962,0.327,0.0624,36.34338086,98200,44033,10723,52482,39159,47.6,46.1,48.9,0.494461545,0.505538455
Greenfield,Monterey,124,93927,Moderate,59.47,0.14,0.72,0.98,0.07,0.28,0.77,0.04,0.06,NA,NA,17561,0.054,963277,980144,11806125,16453492,-0.1,1180949,8144704,1539901,1756570,1180949,6192963,6715394,7018604,4651302,0,15268683,19801660,639408,1059420.1,NA,0.67757667,0.232,0.0836,50.36278083,406022,40587,9460,223750,42425,32.9,32.2,33.9,0.514220938,0.485779062
Gridley,Butte,76,95948,Low,80.54,1.48,0.29,15.92,-0.01,0.75,0.68,0.06,0.12,0.31,0,6634,0.057,4858839,305272,4363048,14862839,0.11,6705757,4535000,5437756,5995687,6705757,3488783,3465592,3460644,11125054,0,23930816,34986840,947355,1710928.3,4533287,0.76934302,0.24,0.0816,33.56159774,219034,31896,5953,103874,35124,37.2,35.2,39.3,0.495140909,0.504859091
Grover Beach,San Luis Obispo,80,93433,Moderate,43.35,0.11,1.77,1.05,0.03,0.7,0.74,0.07,0.12,NA,NA,13501,0.038,2033360,1929621,30492066,17272579,-0.35,1269091,11320702,3456896,3053454,1269091,8583778,8904927,8965580,12121536,0,33555356,45514682,1208949,2003022.61,NA,0.832074303,0.315,0.0548,47.20735251,266358,39692,9659,154624,39377,39.4,37.4,41.5,0.511795488,0.488204512
Guadalupe,Santa Barbara,70,93434,Moderate,52.07,-0.09,0.26,0.38,0.17,0.3,0.79,0.03,0.06,0.02,0,7613,0.033,522318,1359540,2699211,10249961,0.18,-371989,3929250,-739427,-907253,-371989,2881545,3305024,3935042,3065323,0,11254541,14304894,329839,654956.22,251163,0.737632461,0.315,0.0534,53.01265814,415859,45327,13688,258059,44000,33.6,32.3,35.1,0.501978084,0.498021916
Gustine,Merced,67,95322,Moderate,57.8,0.04,0.47,7.29,NA,0.46,0.73,0.05,0.07,NA,NA,5847,0.088,1124124,154241,3052616,6544574,NA,100790,2250367,NA,NA,100790,NA,NA,2346449,3030661,0,8121590,11099430,308533,441946.73,NA,0.692389903,0.125,0.1188,29.54194972,250538,26936,3459,90756,35639,29.6,28.7,30.5,0.50328586,0.49671414
Half Moon Bay,San Mateo,65,94019,Low,79.28,0.55,0.59,7.3,0.03,0.36,0.73,0.03,0.05,-0.01,1.4,12974,0.017,9210883,1261919,17762245,29972015,-0.04,9962452,18038886,10739444,11057160,9962452,15808803,15061186,16499748,10901824,0,30061288,40945026,880539,1460764.24,NA,0.812809978,0.439,0.0504,83.74426637,703830,74932,21933,468661,72876,39.3,37.9,40.5,0.491568666,0.508431334
Hanford,Kings,417,93230,Moderate,61.24,0.28,0.55,7.02,0.08,0.67,0.77,0.08,0.1,0.02,0,56971,0.065,9270774,1320439,41127264,74569156,0.04,8504194,30657356,7949872,8878322,8504194,25145909,28061019,29134766,49728732,0,145842285,189606257,6277823,7778181.39,1375097,0.634274693,0.124,0.1036,34.93159768,152027,25392,3690,58713,40187,31.1,31.8,30,0.56440627,0.43559373
Hawaiian Gardens,Los Angeles,197,90716,Low,89,1.19,0.03,16.89,0.04,0.42,0.75,0.05,0.07,0.27,0.42,14262,0.049,23365604,1383188,613377,23132639,-0.02,24184659,20343806,25255290,26514835,24184659,17728353,17747524,19096727,9727850,0,27418508,36712348,1181797,1554019.03,6307806,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Hawthorne,Los Angeles,403,90250,Moderate,57.03,0.38,0.29,11.46,0.13,1.21,0.73,0.08,0.15,0.99,0,86671,0.048,18843249,1643724,30498816,106881766,0.56,26066029,68322095,10763286,16615228,26066029,60542420,66881409,77768342,114667546,14650000,299930165,413054725,8701722,15713117.85,105728000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Hayward,Alameda,959,94541,Moderate,52.11,0.26,0.5,2.56,0.02,1.45,0.64,0.03,0.19,0.37,0.04,159760,0.033,46061485,17958593,142413854,287110039,0.12,43042204,162816917,35584630,32044756,43042204,164307278,169551250,170059406,414882077,0,736298038,1153749012,8966037,55985840.4,106688200,0.813018889,0.411,0.0622,62.71487157,1477208,48524,8583,903624,60165,36.6,35.6,37.5,0.490357691,0.509642309
Healdsburg,Sonoma,262,95448,Moderate,53.37,0.2,0.85,2.04,0.03,0.79,0.73,0.06,0.11,0.02,0,12076,0.025,9375412,4598789,40922221,48341935,-0.4,3618811,18492708,10322769,7407084,3618811,14248105,13915033,15045501,33703985,4674599,89337167,122913679,2791313,5217749.68,889000,0.745782988,0.321,0.0566,47.03317121,473091,43430,10169,276221,45078,39.9,38,41.6,0.491656988,0.508343012
Hemet,Riverside,339,92543,Moderate,50.11,0.19,0.06,3.8,0.17,1.26,0.68,0.11,0.18,0.61,0.02,85148,0.061,15756470,4150688,4399157,76959231,-0.21,8718787,46575096,13950695,10392062,8718787,37211881,38686072,50126989,97003344,0,201732060,297446778,8631527,13699871.58,47207899,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Hercules,Contra Costa,172,94547,Low,79.81,1.18,1.42,6.39,0.09,0.49,0.73,0.05,0.07,0.04,0.59,25612,0.029,12955172,2026101,46870146,32973834,0.27,16516008,13970056,10463096,11602760,16516008,14018112,14859520,16490956,16214467,0,42796772,58518580,1693565,2331006.16,1456088,0.753994931,0.386,0.0606,90.00304785,1023344,58611,12481,496937,58042,38.5,37.1,39.7,0.487620409,0.512379591
Hermosa Beach,Los Angeles,223,90254,Moderate,61.04,0.23,0.43,2.47,0.02,1.09,0.72,0.03,0.14,0.01,0.94,19404,0.022,9359020,3787161,19698933,45560197,0.04,8925960,38850561,8426891,9437703,8925960,36713851,37460346,38341477,49464514,0,124077323,171667233,1543973,6305792.04,591000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Hesperia,San Bernardino,235,92345,Moderate,60.8,0.18,0.77,2.88,0.08,0.34,0.75,0.03,0.03,0.07,0,95013,0.053,4173461,1449153,67353517,86982210,-0.21,6071940,33194741,9969579,6450468,6071940,28359006,28924762,33000286,29486418,0,43309915,58114800,2668659,2262595.48,5715475,0.674809046,0.186,0.0736,34.97512396,2003735,29988,4061,885185,41008,31.7,30.6,32.8,0.497003749,0.502996251
Hidden Hills,Los Angeles,8,91302,Low,93.06,3.72,0,5.13,0.18,0.09,0.83,0.01,0.02,0.08,0,1891,0.038,9810093,1912997,20269,5054560,0.09,8029127,2158702,6818302,7092304,8029127,2074071,2152205,2820355,461797,0,2109101,2555372,34791,81115.37,427096,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Highland,San Bernardino,54,92346,Low,88.95,0.67,0.02,14.17,0.16,0.12,0.77,0.01,0.02,0.02,0,55311,0.041,11483013,810399,751667,36464467,0.55,13249803,19819784,6113332,12492693,13249803,15444271,18945852,20586134,4547512,0,14757025,19124091,515418,810469.41,834389,0.674809046,0.186,0.0736,34.97512396,2003735,29988,4061,885185,41008,31.7,30.6,32.8,0.497003749,0.502996251
Hillsborough,San Mateo,109,94010,Low,83.97,0.92,0.76,4.79,0.07,0.47,0.75,0.04,0.08,0.25,0.32,11446,0.024,27255659,5689071,41562772,54828685,0.07,22495369,24326282,19880416,20085943,22495369,21303987,22809818,24251711,25911087,0,76842812,102692313,2412097,4398283.59,13670000,0.812809978,0.439,0.0504,83.74426637,703830,74932,21933,468661,72876,39.3,37.9,40.5,0.491568666,0.508431334
Hollister,San Benito,236,95023,Moderate,58.69,0.29,1.12,1.56,0.14,0.47,0.76,0.05,0.08,0.07,0,39750,0.057,7942772,5090844,74550511,66626171,0.1,7462285,26109166,6173472,6468218,7462285,20940498,23713313,26929033,31206329,0,91589962,120041617,3046562,5082806.51,4573075,0.738566851,0.184,0.0932,32.16114766,54267,36836,5787,21766,38918,34.3,33.4,35.2,0.499900487,0.500099513
Hughson,Stanislaus,29,95326,Low,80.5,1.26,1.83,9.48,0,0.3,0.73,0.02,0.04,NA,NA,7538,0.049,3258181,343788,18847835,10326605,0.14,3483633,2763408,2712972,3253574,3483633,2875844,2957706,2872843,3139177,0,8440344,11517113,250403,436297.16,NA,0.712596181,0.163,0.1042,35.30845605,509032,31117,4392,223665,39473,32.9,31.7,34.1,0.494678814,0.505321186
Huntington Beach,Orange,1682,92648,Moderate,55.15,0.34,0.47,5.32,-0.09,1.81,0.7,0.12,0.24,0.04,0.73,200126,0.029,64405000,12115000,111180000,237529000,0.02,62209000,181402000,60210000,58509000,62209000,223567000,217900000,184916000,429641000,0,969493372,1393451316,27836000,55877721.61,8803000,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Huntington Park,Los Angeles,273,90255,Moderate,59.35,0.46,0.36,4.43,-0.01,1.48,0.72,0.04,0.15,0.74,0.19,57998,0.046,11590597,2616752,17697705,48714036,0.17,13567483,29689006,10597799,15134244,13567483,27289170,25966692,26961048,56911271,15200000,144991029,202285647,2047212,7446526.85,35895718,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Huron,Fresno,39,93234,Moderate,59.33,-0.04,0.28,0,0.68,NA,NA,NA,NA,NA,NA,7278,0.112,0,911374,2293304,8104392,-1,-224593,5517835,-370994,99472,-224593,1782764,2731583,4995602,NA,NA,NA,NA,NA,NA,NA,0.714652136,0.194,0.1028,37.12329079,909630,30549,4517,441468,37825,30.6,29.8,31.6,0.499555054,0.500444946
Imperial,Imperial,119,92251,Moderate,64.29,0.21,0.78,1.1,0.05,0.19,0.77,0.01,0.04,NA,NA,17671,0.165,1471732,1338647,17070181,21980131,0.15,1823728,8672505,1724265,1094701,1823728,7924120,8041054,8665481,4207276,0,14070637,18180130,298674,901990.96,NA,0.6502365,0.132,0.2002,42.24373947,167917,28182,3104,74053,34148,31.9,31,33.2,0.51364824,0.48635176
Imperial Beach,San Diego,172,91932,Low,78.81,0.64,0.11,4.49,0.04,0.46,0.76,0.04,0.06,0.03,0,27362,0.044,15105460,3362746,3069868,26891763,-0.09,12860826,20081754,15602060,13276433,12860826,17514834,17872374,18750147,12418086,0,39573373,51912613,1075321,1690424.09,794620,0.725171467,0.344,0.0574,59.13658278,3022116,44860,9670,1882625,50388,34.6,33.2,36.1,0.501945684,0.498054316
Indian Wells,Riverside,37,92210,Low,96.61,1.08,0.01,9.94,0.04,0.04,1,0.02,0.01,0.02,0.89,5435,0.037,17174331,1727855,431513,43039160,0.4,19397674,18026316,10727499,18859826,19397674,17028358,18292985,18541409,1526915,0,28335386,28409159,974198,398912.82,839000,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Indio,Riverside,295,92202,Moderate,65.85,0.38,0.91,2.51,0.12,0.51,0.7,0.05,0.08,0.28,0.04,90970,0.056,25471570,10133204,119612983,130912694,0.26,26086111,67950065,16476113,19736718,26086111,56728512,63623983,70926837,66126814,0,149889247,214716661,6094961,9953096.04,37045900,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Industry,Los Angeles,42,91744,Low,83.13,6.01,5.28,59.69,0.05,0.05,1,0,0,-0.01,1.24,204,0.052,622627377,10431384,919075147,174152203,0.04,622321935,103588545,593754066,737310239,622321935,53374230,49466678,57651822,8994206,0,29370785,29226164,227031,267928.02,NA,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Inglewood,Los Angeles,885,90301,Moderate,62.01,0.49,0.48,4.67,0.15,1.46,0.7,0.07,0.15,0.51,0,109038,0.055,53012380,11355201,112254142,234467764,0.63,60225604,122541877,29659974,24864659,60225604,91415726,110292174,120116595,254939675,86551302,599586451,857969034,16942134,35141219.9,120496955,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Ione,Amador,60,95640,Moderate,45.93,-0.53,0.46,0.1,0.05,0.38,0.69,0.05,0.05,0.27,0,8381,0.039,183542,1901598,3495348,7544300,-0.06,-1459967,2730834,-1318991,-1422236,-1459967,2410353,2185709,2575335,2842254,0,5992774,8722340,355084,399263.86,2056773,0.829321071,0.188,0.0724,40.23075716,38248,34106,7969,19626,37570,48.2,46.5,50.7,0.54472185,0.45527815
Irvine,Orange,1945,92623,Low,78.41,0.57,0.06,4.93,0.02,0.31,0.79,0.05,0.06,0.01,0,281732,0.028,133318000,27049000,29566000,483399000,0,119200000,208746000,119966000,124188000,119200000,196943000,199854000,206520000,151025000,0,565774306,713777601,24283000,28635911.18,6783000,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Irwindale,Los Angeles,182,91706,Low,86.26,1.2,0.09,4.6,0.13,0.76,0.82,0.07,0.07,0.32,0.31,1458,0.068,35052840,7618564,2859154,30371841,0.31,30112196,25079644,18676485,30620784,30112196,17800582,19672264,22535944,23073791,0,73290718,89004942,2247217,2260478.29,9740833,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Isleton,Sacramento,11,95641,Moderate,45.25,-1.93,2.23,0.05,0.31,NA,NA,NA,NA,NA,NA,843,0.038,102052,1931385,3441345,1540865,-0.02,-1717232,889897,-1673929,-1588319,-1717232,435453,494550,728558,NA,NA,NA,NA,NA,NA,NA,0.735014398,0.279,0.0674,52.51903347,1394438,39207,6314,801064,51750,34.8,33.5,36.1,0.489708822,0.510291178
Jackson,Amador,78,95642,Moderate,50.37,0.06,0.93,4.22,0.07,0.67,0.71,0.06,0.09,0.22,0,4793,0.034,382965,90721,8826919,9465806,-0.05,294201,4746289,473042,703882,294201,3545509,3413669,4009733,6376957,0,15186339,21471445,542046,881689.14,2123029,0.829321071,0.188,0.0724,40.23075716,38248,34106,7969,19626,37570,48.2,46.5,50.7,0.54472185,0.45527815
Jurupa Valley,Riverside,23,92509,Moderate,69.25,0.13,0.19,1.08,0.18,NA,NA,NA,NA,NA,NA,108314,0.039,9320824,8667932,8717248,46620260,-0.25,4790657,37084871,8680446,5314133,4790657,25398840,28545812,35114239,NA,NA,NA,NA,NA,NA,NA,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Kerman,Fresno,130,93630,Low,86.94,0.7,0.56,8.67,0.02,0.2,0.8,0.02,0.05,NA,NA,14987,0.065,3243957,374241,8986228,16068813,0.02,3807259,5403483,3669324,3834201,3807259,5241858,4911864,5376542,3243964,0,13287832,16509614,393426,841660.7,NA,0.714652136,0.194,0.1028,37.12329079,909630,30549,4517,441468,37825,30.6,29.8,31.6,0.499555054,0.500444946
King City,Monterey,115,93930,Moderate,51.34,-0.14,0.55,0.24,0.11,0.44,0.75,0.04,0.07,NA,NA,13970,0.035,649037,2708607,7170878,13122616,0.45,-1142719,8004401,-4169395,-1608325,-1142719,5242599,6142126,6361862,5807958,0,17465114,23152090,476674,894867.28,NA,0.67757667,0.232,0.0836,50.36278083,406022,40587,9460,223750,42425,32.9,32.2,33.9,0.514220938,0.485779062
Kingsburg,Fresno,122,93631,Low,90,0.92,0.41,6.62,0.08,0.46,0.71,0.05,0.08,NA,NA,12071,0.052,1830287,276326,6589098,16079321,0.31,4491553,4892440,2629738,3531436,4491553,4728643,5400361,5447503,7365800,0,17483514,24739036,795513,1272895.15,NA,0.714652136,0.194,0.1028,37.12329079,909630,30549,4517,441468,37825,30.6,29.8,31.6,0.499555054,0.500444946
La Canada Flintridge,Los Angeles,53,91011,Low,81.72,0.85,1.26,3.54,0.04,0.15,0.79,0.02,0.03,0.2,0,20161,0.021,16105409,4544887,27417936,21818725,-0.11,12645943,14890826,16568847,11659684,12645943,14657633,14450191,15629848,3270893,0,12032675,15242389,333771,649166.62,4284997,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
La Habra,Orange,511,90631,Moderate,52.09,0.15,0.73,1.57,0.04,0.87,0.72,0.06,0.12,0.06,0.22,60778,0.031,10121288,6458975,66969541,91616196,1.79,7358051,48562083,984505,2197789,7358051,42852430,42850019,45661370,79371703,0,200624862,280205797,5789097,10910562.82,5349000,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
La Habra Heights,Los Angeles,87,90631,Low,89.13,1.92,0.02,11.73,-0.02,0.22,0.82,0.03,0.05,0.07,0,6545,0.037,6459592,550663,89332,5488358,0.04,6105745,3186069,5705825,5768411,6105745,3514576,3245716,3421344,1230710,0,5248393,6431393,137248,291268.13,384923,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
La Mesa,San Diego,403,92041,Moderate,67.27,0.67,0.66,25.11,0.03,1.31,0.69,0.11,0.2,0.06,0.4,59389,0.033,33530438,1335534,44860426,68073938,0.04,31565648,47282655,29418952,29713285,31565648,43873914,44213041,46583204,89048567,0,203208128,296145363,7285540,13928082.8,4010935,0.725171467,0.344,0.0574,59.13658278,3022116,44860,9670,1882625,50388,34.6,33.2,36.1,0.501945684,0.498054316
La Mirada,Los Angeles,411,90638,Low,94.02,1.18,0.19,7.58,-0.01,0.29,0.78,0.03,0.04,-0.1,1.32,48544,0.044,56341591,7435489,9678831,50449038,0.07,52163418,44204820,46279277,51824363,52163418,44701146,44707141,44376444,14471965,0,51392097,65664433,1420299,2069479.86,NA,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
La Palma,Orange,100,90623,Moderate,69.19,0.51,0.03,3.07,0.1,1.07,0.8,0.08,0.14,0.07,0.56,15525,0.029,8987819,2930868,507911,16946478,-0.18,7649007,15131739,11467397,10358256,7649007,9746604,10893971,11789540,18141407,0,60382238,75879824,1339988,2360129.09,1187000,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
La Puente,Los Angeles,93,91744,Low,78.5,0.63,0.51,6.18,0.01,0.34,0.69,0.02,0.05,0.18,0.06,39772,0.048,7811980,1264798,10520622,20466271,0.01,7997394,12776702,7906933,7191875,7997394,12532851,12169702,12696662,6915558,0,15554365,22399861,458034,948622.87,3781675,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
