city,county,Employees,zipcode,overall_risk,overall_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_voter_reg_08,county_college_2008_12,county_avg_unemployed_05_09,county_per_cap_gdp_08,county_pop_08,county_per_cap_income_08,county_per_cap_1099_income_08,county_n_jobs_08,county_avg_wage_08,county_med_age_08,county_med_age_m_08,county_med_age_f_08,county_prop_m_08,county_prop_f_08
Lancaster,Los Angeles,779,93534,Moderate,65.98,0.31,0.31,1.3,0.05,0.38,0.69,0.03,0.06,0.13,0.22,158622,0.065,9790321,7515860,47634076,153847163,0.04,21369304,70023738,19783853,20184199,21369304,57032072,59231870,62091871,57734586,0,128899509,186792049,5038379,8532370.89,19529820,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Larkspur,Marin,105,94939,Low,75.98,0.63,0.14,6.47,0.03,0.61,0.74,0.05,0.1,0.69,0.02,12302,0.019,11744058,1816133,3726827,25920651,0.23,10589515,16903510,7040695,9149407,10589515,17018997,18085893,18085387,15739557,0,45657839,61428173,1318915,2517706.83,17961393,0.858973581,0.546,0.047,67.96443611,248398,90003,30928,181971,56427,44.5,43,46,0.491551411,0.508448589
Lathrop,San Joaquin,110,95330,Low,92.99,0.95,0.5,2.93,0.11,0.09,0.81,0.01,0.02,0.03,0.68,23227,0.045,28685561,9788289,27510549,55305024,0.2,21538365,22579784,15094341,16496212,21538365,19048478,18954503,22852580,5199968,0,21020178,26096612,465746,1237804.29,1598333,0.650551261,0.179,0.0986,35.11675292,671692,32080,4692,287022,40880,32.7,31.5,34,0.497923555,0.502076445
Lawndale,Los Angeles,148,90260,Low,72.49,0.43,0.07,2.41,0.03,0.41,0.78,0.03,0.07,0.23,0,32647,0.043,6224730,2582460,1183646,17715103,-0.05,6143591,14159341,6929628,5763383,6143591,12865649,13083932,13457727,7233212,0,24579158,31697572,600369,1162164.98,4059091,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Lemon Grove,San Diego,98,91945,Low,72.91,0.39,0.07,3.12,0.03,0.32,0.78,0.04,0.06,0.17,0,26885,0.039,5113198,1640734,1652665,23650916,0.09,5455171,14071350,4641085,5288540,5455171,12800851,12827441,13596665,7685061,0,26637608,34195167,894949,1504290.12,3907420,0.725171467,0.344,0.0574,59.13658278,3022116,44860,9670,1882625,50388,34.6,33.2,36.1,0.501945684,0.498054316
Lemoore,Kings,166,93245,Low,92.68,0.82,0.27,10.25,0.11,0.42,0.76,0.04,0.07,NA,NA,26470,0.058,6470079,631455,8031310,29605932,-0.07,8334434,10206916,9670789,8334745,8334434,8205323,8837637,10038013,12347424,0,39339362,51592757,1316527,2179405.54,NA,0.634274693,0.124,0.1036,34.93159768,152027,25392,3690,58713,40187,31.1,31.8,30,0.56440627,0.43559373
Lincoln,Placer,280,95648,Low,90.04,0.8,0.26,17.87,0.06,0.26,0.75,0.03,0.05,0.17,0.17,47862,0.034,12545951,702072,21395706,82207155,0.16,13940732,17335190,10460468,12749251,13940732,15981910,17847448,17887587,21472079,0,63196288,84183283,2387695,3893540.19,14187603,0.831388887,0.347,0.0606,46.07508709,337568,47986,9735,198859,45005,40.3,39,41.4,0.488333448,0.511666552
Lindsay,Tulare,81,93247,High,33.3,-0.88,1.47,0.03,0.11,0.73,0.74,0.08,0.1,0.12,0,13448,0.137,166675,6384365,18300724,12475858,-0.06,-5667736,6456607,-6212627,-9438491,-5667736,5195645,5002112,6317405,9168480,0,24744740,33584653,1021760,1272318.68,1440641,0.604518561,0.133,0.1066,31.18263477,429283,28708,3686,188438,33537,29.6,28.8,30.5,0.500797188,0.499202812
Live Oak,Sutter,82,95953,Low,91.74,1.64,0.66,10.13,0.04,0.15,0.74,0.02,0.02,-0.01,1.45,8723,0.067,4684917,462367,7861892,11871579,0.03,4976323,3039565,4756299,4609944,4976323,2647400,2839462,2856777,1824719,0,4976419,6716105,246864,266540.31,NA,0.690717713,0.184,0.1152,37.36422141,93855,34285,5294,38431,35668,34.5,33.2,35.9,0.49612084,0.50387916
Livermore,Alameda,549,94550,Low,73.59,0.53,0.62,10.98,0.04,0.58,0.73,0.06,0.09,0.23,0.35,90253,0.026,49948478,4550031,129935246,210565812,0.16,56007883,105226347,41918661,49276542,56007883,102449461,103007269,109641632,121120149,0,318099999,435652704,11598975,18467778.69,48271873,0.813018889,0.411,0.0622,62.71487157,1477208,48524,8583,903624,60165,36.6,35.6,37.5,0.490357691,0.509642309
